type,jan_regis,feb_regis,mar_regis,apr_regis,total_regis,jan_m,feb_m,mar_m,apr_m,total_m
การผลิตน้ำแข็งเพื่อการบริโภค,8,5,5,5,23,11.5,12.06,14,8.5,46.06
การผลิตผลิตภัณฑ์จากไข่,0,0,1,0,1,0,0,1,0,1
การผลิตผลิตภัณฑ์อาหารอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,22,20,24,16,82,40.4,23.5,33.395,48.9,146.195
การผลิตอาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,0,0,0,0,0,0,0,0,0,0
การผลิตอาหารสำเร็จรูปสำหรับสัตว์เลี้ยง,5,4,6,3,18,21.1,5.6,5.2,4,35.9
การผลิตอาหารสำเร็จรูปสำหรับเลี้ยงปศุสัตว์ในฟาร์ม,1,0,0,1,2,1,0,0,1,2
การผลิตสุรากลั่น,3,2,3,8,16,1.6,1.05,3,11.86,17.51
การผลิตสุราผสม,0,0,0,0,0,0,0,0,0,0
การผลิตสุราผลไม้ (ไวน์),0,0,0,0,0,0,0,0,0,0
การผลิตไวน์องุ่น,0,0,0,0,0,0,0,0,0,0
การผลิตไวน์ผลไม้ (ยกเว้นองุ่น),0,0,0,0,0,0,0,0,0,0
การผลิตสุราผลไม้ (ไวน์) ซึ่งมิได้จัดประเภทไว้ที่อื่น,4,1,2,4,11,1.61,5,1.7,7.5,15.81
การผลิตมอลต์และสุราที่ทำจากข้าวมอลต์,1,6,2,0,9,1,10,2,0,13
การผลิตเครื่องดื่มที่ไม่มีแอลกอฮอล์การผลิตน้ำแร่และน้ำดื่ม บรรจุขวดประเภทอื่น ๆ,0,0,0,0,0,0,0,0,0,0
การผลิตน้ำดื่มบริสุทธิ์และน้ำแร่บรรจุขวด,14,14,8,16,52,17.7,25.6,11.8,22.32,77.42
การผลิตน้ำอัดลมและโซดา,1,0,0,0,1,5,0,0,0,5
การผลิตเครื่องดื่มกาแฟ ชาและชาชงสมุนไพรพร้อมดื่ม,3,16,14,11,44,6,16.5,13.7,14.6,50.8
การผลิตเครื่องดื่มให้พลังงานรวมถึงเครื่องดื่มเกลือแร่,1,0,2,2,5,1,0,3,2,6
การผลิตเครื่องดื่มที่ไม่มีแอลกอฮอล์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,4,7,12,11,34,2.1,9,23.1,17.6,51.8
การบ่มและการอบใบยาสูบ,0,0,0,0,0,0,0,0,0,0
การผลิตบุหรี่และซิการ์,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์จากยาสูบและผลิตภัณฑ์ที่ใช้แทนยาสูบอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น (ยกเว้นบุหรี่และซิการ์),0,0,0,0,0,0,0,0,0,0
การเตรียมเส้นใย,0,0,0,0,0,0,0,0,0,0
