province,month,type,p_esta,m_esta
เพชรบุรี,มิถุนายน,M,0,0.0
เพชรบุรี,มิถุนายน,L,0,0.0
เพชรบุรี,กรกฎาคม,S,0,0.0
เพชรบุรี,กรกฎาคม,M,0,0.0
เพชรบุรี,กรกฎาคม,L,0,0.0
เพชรบุรี,สิงหาคม,S,0,0.0
เพชรบุรี,สิงหาคม,M,0,0.0
เพชรบุรี,สิงหาคม,L,0,0.0
เพชรบุรี,กันยายน,S,0,0.0
เพชรบุรี,กันยายน,M,0,0.0
เพชรบุรี,กันยายน,L,0,0.0
เพชรบุรี,ตุลาคม,S,0,0.0
เพชรบุรี,ตุลาคม,M,0,0.0
เพชรบุรี,ตุลาคม,L,0,0.0
เพชรบุรี,พฤศจิกายน,S,0,0.0
เพชรบุรี,พฤศจิกายน,M,0,0.0
เพชรบุรี,พฤศจิกายน,L,0,0.0
เพชรบุรี,ธันวาคม,S,0,0.0
เพชรบุรี,ธันวาคม,M,0,0.0
