province,month,objective,p_esta,m_esta
สระบุรี,สิงหาคม,ขายส่ง/ขายปลีก,18,37.8
สระบุรี,สิงหาคม,ผลิต,4,4.0
สระบุรี,สิงหาคม,บริการ,25,48.25
สระบุรี,กันยายน,ขายส่ง/ขายปลีก,27,57.0
สระบุรี,กันยายน,ผลิต,4,14.0
สระบุรี,กันยายน,บริการ,31,44.605
สระบุรี,ตุลาคม,ขายส่ง/ขายปลีก,17,75.5
สระบุรี,ตุลาคม,ผลิต,4,4.5
สระบุรี,ตุลาคม,บริการ,27,52.8
สระบุรี,พฤศจิกายน,ขายส่ง/ขายปลีก,18,35.6
สระบุรี,พฤศจิกายน,ผลิต,6,12.0
สระบุรี,พฤศจิกายน,บริการ,25,48.03
สระบุรี,ธันวาคม,ขายส่ง/ขายปลีก,11,18.6
สระบุรี,ธันวาคม,ผลิต,3,10.0
สระบุรี,ธันวาคม,บริการ,16,29.8
สิงห์บุรี,มกราคม,ขายส่ง/ขายปลีก,5,4.2
สิงห์บุรี,มกราคม,ผลิต,1,1.0
สิงห์บุรี,มกราคม,บริการ,6,5.5
สิงห์บุรี,กุมภาพันธ์,ขายส่ง/ขายปลีก,0,0.0
สิงห์บุรี,กุมภาพันธ์,ผลิต,0,0.0
สิงห์บุรี,กุมภาพันธ์,บริการ,2,1.5
สิงห์บุรี,มีนาคม,ขายส่ง/ขายปลีก,4,3.1
สิงห์บุรี,มีนาคม,ผลิต,1,5.0
สิงห์บุรี,มีนาคม,บริการ,5,11.0
สิงห์บุรี,เมษายน,ขายส่ง/ขายปลีก,1,0.1
สิงห์บุรี,เมษายน,ผลิต,0,0.0
สิงห์บุรี,เมษายน,บริการ,2,5.0
สิงห์บุรี,พฤษภาคม,ขายส่ง/ขายปลีก,2,6.0
สิงห์บุรี,พฤษภาคม,ผลิต,0,0.0
สิงห์บุรี,พฤษภาคม,บริการ,1,1.0
สิงห์บุรี,มิถุนายน,ขายส่ง/ขายปลีก,4,3.5
สิงห์บุรี,มิถุนายน,ผลิต,1,0.5
สิงห์บุรี,มิถุนายน,บริการ,4,3.45
สิงห์บุรี,กรกฎาคม,ขายส่ง/ขายปลีก,6,26.0
สิงห์บุรี,กรกฎาคม,ผลิต,3,7.0
สิงห์บุรี,กรกฎาคม,บริการ,7,12.5
สิงห์บุรี,สิงหาคม,ขายส่ง/ขายปลีก,2,1.2
สิงห์บุรี,สิงหาคม,ผลิต,0,0.0
สิงห์บุรี,สิงหาคม,บริการ,2,1.01
สิงห์บุรี,กันยายน,ขายส่ง/ขายปลีก,6,9.0
สิงห์บุรี,กันยายน,ผลิต,1,1.0
สิงห์บุรี,กันยายน,บริการ,6,5.1
สิงห์บุรี,ตุลาคม,ขายส่ง/ขายปลีก,3,6.3
สิงห์บุรี,ตุลาคม,ผลิต,0,0.0
สิงห์บุรี,ตุลาคม,บริการ,3,3.0
สิงห์บุรี,พฤศจิกายน,ขายส่ง/ขายปลีก,2,3.0
สิงห์บุรี,พฤศจิกายน,ผลิต,0,0.0
สิงห์บุรี,พฤศจิกายน,บริการ,1,1.0
สิงห์บุรี,ธันวาคม,ขายส่ง/ขายปลีก,2,2.0
สิงห์บุรี,ธันวาคม,ผลิต,0,0.0
สิงห์บุรี,ธันวาคม,บริการ,2,0.65
อ่างทอง,มกราคม,ขายส่ง/ขายปลีก,6,4.6
อ่างทอง,มกราคม,ผลิต,2,1.5
อ่างทอง,มกราคม,บริการ,7,5.57
อ่างทอง,กุมภาพันธ์,ขายส่ง/ขายปลีก,5,5.1
อ่างทอง,กุมภาพันธ์,ผลิต,3,2.5
อ่างทอง,กุมภาพันธ์,บริการ,6,5.35
อ่างทอง,มีนาคม,ขายส่ง/ขายปลีก,5,5.5
อ่างทอง,มีนาคม,ผลิต,2,6.0
อ่างทอง,มีนาคม,บริการ,7,6.3
อ่างทอง,เมษายน,ขายส่ง/ขายปลีก,4,5.01
อ่างทอง,เมษายน,ผลิต,3,6.5
อ่างทอง,เมษายน,บริการ,3,2.1
อ่างทอง,พฤษภาคม,ขายส่ง/ขายปลีก,3,3.7
อ่างทอง,พฤษภาคม,ผลิต,0,0.0
อ่างทอง,พฤษภาคม,บริการ,4,6.05
อ่างทอง,มิถุนายน,ขายส่ง/ขายปลีก,7,10.7
อ่างทอง,มิถุนายน,ผลิต,1,5.0
อ่างทอง,มิถุนายน,บริการ,0,0.0
อ่างทอง,กรกฎาคม,ขายส่ง/ขายปลีก,3,1.7
อ่างทอง,กรกฎาคม,ผลิต,4,3.5
อ่างทอง,กรกฎาคม,บริการ,4,8.0
อ่างทอง,สิงหาคม,ขายส่ง/ขายปลีก,1,5.0
อ่างทอง,สิงหาคม,ผลิต,2,6.0
อ่างทอง,สิงหาคม,บริการ,6,5.7
อ่างทอง,กันยายน,ขายส่ง/ขายปลีก,4,3.2
อ่างทอง,กันยายน,ผลิต,0,0.0
อ่างทอง,กันยายน,บริการ,4,5.0
อ่างทอง,ตุลาคม,ขายส่ง/ขายปลีก,4,2.1
อ่างทอง,ตุลาคม,ผลิต,0,0.0
อ่างทอง,ตุลาคม,บริการ,5,3.6
